alias,canonical
ayam suwir,ayam
ayam suwir sambal matah,ayam
ayam sambal matah,ayam
oseng bayam,bayam
"akar tonjong, segar",akar tonjong segar
"ale,toge, segar",ale toge segar
"alpukat, segar",alpukat segar
ampas tahu kukus,ampas tahu
"ampas tahu, kering",ampas tahu
"ampas tahu, mentah",ampas tahu mentah
"anak sapi, daging,  gemuk, segar",anak sapi daging gemuk segar
"anak sapi, daging,  kurus, segar",anak sapi daging kurus segar
"anak sapi, daging,  sedang, segar",anak sapi daging sedang segar
"andaliman, segar",andaliman segar
"andewi, segar",andewi segar
"anggur hutan, segar",anggur hutan segar
"angsa, daging, segar",angsa daging segar
"anyang, sayur",anyang
"apang kukus, kue",apang kue
"apel malang, segar",apel malang segar
"apel, segar",apel segar
"apem, kue",apem kue
"arbai, segar",arbai segar
"ares, sayur",ares
"arrowroot, segar",arrowroot segar
"asam arang coklat,  segar",asam arang coklat segar
"asam arang merah,  segar",asam arang merah segar
"asam kandis, segar",asam kandis segar
"asam masak pohon,  segar",asam masak pohon segar
"asam payak, segar",asam payak segar
"asan kandis, kering",asan kandis
"asinan bogor, sayuran",asinan bogor sayuran
"ayam  goreng  kentucky,sayap",ayam kentucky sayap
"ayam goreng  church,texas paha",ayam church texas paha
"ayam goreng  kentucky, dada",ayam kentucky dada
"ayam goreng  kentucky, paha",ayam kentucky paha
"ayam goreng  pasundan, dada",ayam pasundan dada
"ayam goreng  pasundan, paha",ayam pasundan paha
"ayam goreng  sukabumi, dada",ayam sukabumi dada
"ayam goreng  sukabumi, paha",ayam sukabumi paha
"ayam goreng church  texas, dada",ayam church texas dada
"ayam goreng church  texas, sayap",ayam church texas sayap
"ayam goreng kalasan,  paha",ayam kalasan paha
ayam goreng mbok  berek dada,ayam mbok berek dada
"ayam goreng pioneer,  dada",ayam pioneer dada
"ayam taliwang,  masakan",ayam taliwang masakan
"ayam, ampela, goreng",ayam ampela
"ayam, daging, segar",ayam daging segar
"ayam, dideh/darah,  segar",ayam dideh darah segar
"ayam, hati, segar",ayam hati segar
"ayam, usus, goreng",ayam usus
"babi hutan masak rica,  masakan",babi hutan masak masakan
"babi, daging,  gemuk,segar",babi daging gemuk segar
"babi, daging, kurus,  segar",babi daging kurus segar
"babi, ginjal, segar",babi ginjal segar
"babi, hati, segar",babi hati segar
bagea kw 1,bagea kw
bagea kw 2,bagea kw
"bakpia, kue",bakpia kue
"bakung, segar",bakung segar
"baligo, segar",baligo segar
"batatas gembili, segar",batatas gembili segar
"batatas kelapa, ubi,  bakar",batatas kelapa ubi
"batatas kelapa, ubi,  kukus",batatas kelapa ubi
"batatas kelapa, ubi,  segar",batatas kelapa ubi segar
"batatas tali, ubi, rebus",batatas tali ubi
"bawang bombay,  segar",bawang bombay segar
"bawang merah, segar",bawang merah segar
"bawang putih, segar",bawang putih segar
"bayam ,rebus",bayam
"bayam merah, segar",bayam merah segar
"bayam, kukus",bayam
"bayam, segar",bayam segar
"bayau mi balu,  masakan",bayau mi balu masakan
"bebek (itik), daging,  segar",bebek itik daging segar
"bebek alabio, daging,  segar",bebek alabio daging segar
"bebek, daging, goreng",bebek daging
"beef teriyaki, masakan",beef teriyaki masakan
"beef yakiniku,  masakan",beef yakiniku masakan
"bekicot, dendeng,  mentah",bekicot dendeng mentah
"belibis, daging, segar",belibis daging segar
"belimbing, segar",belimbing segar
"belitung, talas, kukus",belitung talas
"belitung, talas, segar",belitung talas segar
"belut, goreng",belut
"belut, segar",belut segar
"belut,laut, segar",belut laut segar
"bengkuang, segar",bengkuang segar
"bentul (komba), talas,  segar",bentul komba talas segar
"bentul, talas, kukus",bentul talas
"beras giling var  rojolele, mentah",beras giling var rojolele mentah
"beras giling var pelita,  mentah",beras giling var pelita mentah
"beras giling, mentah",beras giling mentah
"beras hitam, mentah",beras hitam mentah
"beras jagung kuning,  kering, mentah",beras jagung kuning mentah
"beras jagung putih,  kering, mentah",beras jagung putih mentah
"beras ketan hitam  tumbuk, mentah",beras ketan hitam tumbuk mentah
"beras ketan putih  tumbuk, mentah",beras ketan putih tumbuk mentah
"beras ladang, mentah",beras ladang mentah
"beras menir, mentah",beras menir mentah
"beras merah, nasi",beras merah nasi
"beras tumbuk merah,  mentah",beras tumbuk merah mentah
"beras tumbuk, mentah",beras tumbuk mentah
"beras, tapai",beras tapai
"beras, tepung, mentah",beras tepung mentah
"betok wadi, masakan",betok wadi masakan
bihun goreng instan,bihun instan
"bihun jagung, mentah",bihun jagung mentah
"bihun, mentah",bihun mentah
biji nangka/biji salak,biji nangka biji salak
"bit, segar",bit segar
"biwah, segar",biwah segar
"boros kunci, segar",boros kunci segar
"boros laja (lengkuas),  segar",boros laja lengkuas segar
"bou ninahu ndamate,  masakan",bou ninahu ndamate masakan
"bouiki ninahu  nggaluku, masakan",bouiki ninahu nggaluku masakan
"buah atung, segar",atung segar
"buah kelenting, segar",kelenting segar
buah kelor,kelor
"buah kom, segar",kom segar
"buah mentega  (bisbul), segar",mentega bisbul segar
buah merah,merah
"buah naga merah,  segar",naga merah segar
"buah naga putih,  segar",naga putih segar
"buah negri, segar",negri segar
"buah nona, segar",nona segar
"buah rotan, segar",rotan segar
"buah rukam, segar",rukam segar
"buah ruruhi, segar",ruruhi segar
"buah tuppa, segar",tuppa segar
"buaya, daging,  dendeng, mentah",buaya daging dendeng mentah
bubur tinotuan  (manado),bubur tinotuan manado
"bulgogi, masakan",bulgogi masakan
"buncis, rebus",buncis
"buncis, segar",buncis segar
"bunga pepaya, segar",bunga pepaya segar
"bunga turi, segar",bunga turi segar
"burung, sarang, segar",burung sarang segar
"cabai gembor merah,  segar",cabai gembor merah segar
"cabai hijau, segar",cabai hijau segar
"cabai merah, kering",cabai merah
"cabai merah, segar",cabai merah segar
"cabai rawit, segar",cabai rawit segar
"caisin, segar",caisin segar
cakalang asar (asap),cakalang asar asap
"cantel, mentah",cantel mentah
"cap cai, sayur",cap cai
"carica papaya, segar",carica papaya segar
"cempedak, segar",cempedak segar
"cengkeh, kering",cengkeh
ceriping getuk  singkong,ceriping getuk singkong
"chicken teriyaki,  masakan",chicken teriyaki masakan
"chikiniku, masakan",chikiniku masakan
"coklat manis, batang",coklat manis
"coklat pahit,batang",coklat pahit
"coklat susu, batang",coklat susu
"coto mangkasara,  kuda, masakan",coto mangkasara kuda masakan
"coto mangkasara,  sapi, masakan",coto mangkasara sapi masakan
"cucuru bayau,  masakan",cucuru bayau masakan
"cumi-cumi, goreng",cumi cumi
"cumi-cumi, segar",cumi cumi segar
"daun bangun-bangun,  segar",daun bangun bangun segar
"daun bawang  merah,  segar",daun bawang merah segar
"daun bebuas, segar",daun bebuas segar
"daun belem, segar",daun belem segar
"daun bluntas, segar",daun bluntas segar
"daun gandaria, segar",daun gandaria segar
"daun gedi besar, segar",daun gedi besar segar
"daun gedi kecil, segar",daun gedi kecil segar
"daun gelang, segar",daun gelang segar
"daun gunda bali,  segar",daun gunda bali segar
"daun gunda serang,  segar",daun gunda serang segar
"daun jambu mete  muda, segar",daun jambu mete muda segar
"daun jampang, segar",daun jampang segar
"daun jawaw seluang,  segar",daun jawaw seluang segar
"daun jonghe, segar",daun jonghe segar
"daun kacang ma,  segar",daun kacang ma segar
"daun kacang panjang,  kukus",daun kacang panjang
"daun kacang panjang,  segar",daun kacang panjang segar
"daun kasbi/singkong  karet, segar",daun kasbi singkong karet segar
"daun katuk, rebus",daun katuk
"daun katuk, segar",daun katuk segar
"daun kecipir, segar",daun kecipir segar
"daun kedondong,  segar",daun kedondong segar
"daun kelor, rebus",daun kelor
"daun kelor, segar",daun kelor segar
"daun kemang, segar",daun kemang segar
"daun kenikir, segar",daun kenikir segar
"daun kesum, segar",daun kesum segar
"daun kol sawi, segar",daun kol sawi segar
"daun koro, segar",daun koro segar
"daun kubis, segar",daun kubis segar
"daun kumak, segar",daun kumak segar
"daun labu  waluh/kuning, segar",daun labu waluh kuning segar
"daun labu siam, segar",daun labu siam segar
"daun lamtoro, segar",daun lamtoro segar
"daun leilem, segar",daun leilem segar
"daun leunca, segar",daun leunca segar
"daun lobak, segar",daun lobak segar
"daun lompong talas,  segar",daun lompong talas segar
"daun mangkokan,  segar",daun mangkokan segar
"daun matel ambon,  segar",daun matel ambon segar
"daun melinjo, segar",daun melinjo segar
"daun mengkudu,  kukus",daun mengkudu
"daun mengkudu,  segar",daun mengkudu segar
"daun ndusuk, segar",daun ndusuk segar
"daun oyong, segar",daun oyong segar
"daun pakis  wambateu, segar",daun pakis wambateu segar
"daun pakis longgiho,  segar",daun pakis longgiho segar
"daun pakis, segar",daun pakis segar
"daun paku, segar",daun paku segar
"daun pangi,segar",daun pangi segar
"daun pare, segar",daun pare segar
"daun pepaya, segar",daun pepaya segar
"daun pohpohan, segar",daun pohpohan segar
"daun salam,  bubuk",daun salam bubuk
"daun selasih, segar",daun selasih segar
"daun semanggi, segar",daun semanggi segar
"daun simpur, segar",daun simpur segar
"daun singkil, segar",daun singkil segar
"daun singkong  ambon, segar",daun singkong ambon segar
"daun singkong  ampenan, segar",daun singkong ampenan segar
"daun singkong  kopang, segar",daun singkong kopang segar
"daun singkong, rebus",daun singkong
"daun singkong, segar",daun singkong segar
"daun sintrong, segar",daun sintrong segar
"daun talas, rebus",daun talas
"daun talas, segar",daun talas segar
"daun tespong, segar",daun tespong segar
"daun ubi kuning,  segar",daun ubi kuning segar
"daun ubi merah,  kukus",daun ubi merah
"daun ubi merah, segar",daun ubi merah segar
"daun ubi putih, segar",daun ubi putih segar
"daun ubi tinta, segar",daun ubi tinta segar
"dendeng belut,  goreng, masakan",dendeng belut masakan
"dendeng mujahir,  goreng, masakan",dendeng mujahir masakan
"djibokum, masakan",djibokum masakan
"domba, daging,  gemuk, segar",domba daging gemuk segar
"domba, daging, kurus,   segar",domba daging kurus segar
"domba, ginjal, segar",domba ginjal segar
"duku, segar",duku segar
"durian, segar",durian segar
"duwet, segar",duwet segar
"eceng, segar",eceng segar
"embacang, segar",embacang segar
"empal (daging)  goreng, masakan",empal daging masakan
emping (kerupuk  melinjo),emping kerupuk melinjo
"encung asam, segar",encung asam segar
enting-enting gepuk  hello kity,enting enting gepuk hello kity
enting-enting gepuk  kacang tanah,enting enting gepuk kacang tanah
enting-enting wijen,enting enting wijen
"erbis, segar",erbis segar
fillet o-fish,fillet o fish
"gadeng/gadung,  kering",gadeng gadung
gado-gado,gado gado
"gadung, ubi, kukus",gadung ubi
"gadung, ubi, segar",gadung ubi segar
"gambas (oyong),  segar",gambas oyong segar
"ganyong, rebus",ganyong
"ganyong, segar",ganyong segar
"gatep, segar",gatep segar
"gembili, ubi, segar",gembili ubi segar
gendar goreng,gendar
"genjer, segar",genjer segar
"gete kuah asam,  masakan",gete asam masakan
getuk goreng,getuk
"gudeg, sayur",gudeg
"gulai asam keueung,  masakan",asam keueung masakan
"gulai ikan paya,  masakan",ikan paya masakan
"gulai ikan, masakan",ikan masakan
gulai kambing,kambing
"gulai keumamah,  masakan",keumamah masakan
gulai pakis,pakis
gulai pliek,pliek
"gulai tiram, masakan",tiram masakan
"gurame asem manis,  masakan",gurame asem manis masakan
"hofa/ubi hutan, segar",hofa ubi hutan segar
"ikan asar merah,  masakan",ikan asar merah masakan
"ikan asin, kering",ikan asin
"ikan bader, segar",ikan bader segar
"ikan balong, segar",ikan balong segar
"ikan bambangan,  segar",ikan bambangan segar
"ikan bandeng presto,  masakan",ikan bandeng presto masakan
"ikan bandeng, segar",ikan bandeng segar
"ikan banjar, segar",ikan banjar segar
"ikan baronang, segar",ikan baronang segar
"ikan batung, segar",ikan batung segar
ikan baung bakar,ikan baung
"ikan baung, segar",ikan baung segar
"ikan bawal, segar",ikan bawal segar
ikan belida bakar,ikan belida
"ikan belida, segar",ikan belida segar
"ikan beunteur, segar",ikan beunteur segar
"ikan biawan, segar",ikan biawan segar
"ikan bili, segar",ikan bili segar
"ikan bubara, segar",ikan bubara segar
"ikan bulan-bulan,  segar",ikan bulan bulan segar
